pedX,pedY,vehX,vehY,TTC
900,275,512,240,3
900,263,642,240,2
900,251,772,240,1
900,25,521,105,3
900,52,648,105,2
900,79,775,105,1
900,25,427,107,3
900,53,585,107,2
900,81,743,107,1
900,25,502,107,3
900,53,635,107,2
900,81,768,107,1
900,275,526,223,3
900,257,651,223,2
900,239,776,223,1
900,275,361,199,3
900,249,541,199,2
900,223,721,199,1
900,275,313,215,3
900,255,509,215,2
900,235,705,215,1
900,25,550,63,3
900,38,667,63,2
900,51,784,63,1
900,25,517,50,3
900,34,645,50,2
900,43,773,50,1
900,25,294,66,3
900,39,496,66,2
900,53,698,66,1
900,25,387,56,3
900,36,558,56,2
900,47,729,56,1
900,275,442,186,3
900,245,595,186,2
900,215,748,186,1
900,275,372,236,3
900,262,548,236,2
900,249,724,236,1
900,275,527,199,3
900,249,652,199,2
900,223,777,199,1
900,25,480,61,3
900,37,620,61,2
900,49,760,61,1
900,25,553,68,3
900,40,669,68,2
900,55,785,68,1
900,275,536,224,3
900,258,658,224,2
900,241,780,224,1
900,275,526,224,3
900,258,651,224,2
900,241,776,224,1
900,275,557,216,3
900,255,672,216,2
900,235,787,216,1
900,275,406,235,3
900,261,571,235,2
900,247,736,235,1
900,25,560,74,3
900,42,674,74,2
900,59,788,74,1
900,25,420,77,3
900,43,580,77,2
900,61,740,77,1
900,275,549,205,3
900,251,666,205,2
900,227,783,205,1
900,275,453,198,3
900,249,602,198,2
900,223,751,198,1
900,275,621,230,3
900,260,714,230,2
900,245,807,230,1
900,275,591,216,3
900,255,694,216,2
900,235,797,216,1
900,275,565,206,3
900,252,677,206,2
900,229,789,206,1
900,25,515,97,3
900,49,644,97,2
900,73,773,97,1
900,275,508,222,3
900,257,639,222,2
900,239,770,222,1
900,275,550,235,3
900,261,667,235,2
900,247,784,235,1
900,275,266,211,3
900,253,478,211,2
900,231,690,211,1
900,25,474,69,3
900,40,616,69,2
900,55,758,69,1
900,25,623,92,3
900,48,716,92,2
900,71,809,92,1
900,25,582,84,3
900,45,688,84,2
900,65,794,84,1
900,25,363,68,3
900,40,542,68,2
900,55,721,68,1
900,25,583,88,3
900,46,689,88,2
900,67,795,88,1
900,275,488,215,3
900,255,626,215,2
900,235,764,215,1
900,275,343,206,3
900,252,529,206,2
900,229,715,206,1
900,275,642,173,3
900,241,728,173,2
900,207,814,173,1
900,25,480,101,3
900,51,620,101,2
900,77,760,101,1
900,25,337,102,3
900,51,525,102,2
900,77,713,102,1
