pedX,pedY,vehX,vehY,TTC
900,275,472,269,3
900,273,615,269,2
900,271,758,269,1
900,25,321,84,3
900,45,514,84,2
900,65,707,84,1
900,25,442,67,3
900,39,595,67,2
900,53,748,67,1
900,275,539,241,3
900,263,660,241,2
900,251,781,241,1
900,25,521,31,3
900,27,648,31,2
900,29,775,31,1
900,25,591,47,3
900,33,694,47,2
900,41,797,47,1
900,25,576,56,3
900,36,684,56,2
900,47,792,56,1
900,25,529,31,3
900,27,653,31,2
900,29,777,31,1
900,25,224,53,3
900,35,450,53,2
900,45,676,53,1
900,25,232,59,3
900,37,455,59,2
900,49,678,59,1
900,275,597,230,3
900,260,698,230,2
900,245,799,230,1
900,275,488,198,3
900,249,626,198,2
900,223,764,198,1
900,25,696,71,3
900,41,764,71,2
900,57,832,71,1
900,25,414,49,3
900,33,576,49,2
900,41,738,49,1
900,275,410,234,3
900,261,574,234,2
900,247,738,234,1
900,25,445,69,3
900,40,597,69,2
900,55,749,69,1
900,25,604,88,3
900,46,703,88,2
900,67,802,88,1
900,25,573,79,3
900,43,682,79,2
900,61,791,79,1
900,275,525,225,3
900,258,650,225,2
900,241,775,225,1
900,275,550,214,3
900,254,667,214,2
900,233,784,214,1
900,275,446,216,3
900,255,598,216,2
900,235,750,216,1
900,275,392,234,3
900,261,562,234,2
900,247,732,234,1
900,275,526,245,3
900,265,651,245,2
900,255,776,245,1
900,25,659,81,3
900,44,740,81,2
900,63,821,81,1
900,25,428,46,3
900,32,586,46,2
900,39,744,46,1
900,25,477,55,3
900,35,618,55,2
900,45,759,55,1
900,25,608,82,3
900,44,706,82,2
900,63,804,82,1
900,25,388,46,3
900,32,559,46,2
900,39,730,46,1
900,25,465,31,3
900,27,610,31,2
900,29,755,31,1
900,275,783,269,3
900,273,822,269,2
900,271,861,269,1
900,25,528,114,3
900,55,652,114,2
900,85,776,114,1
900,25,419,79,3
900,43,580,79,2
900,61,741,79,1
900,275,282,250,3
900,266,488,250,2
900,257,694,250,1
900,25,585,31,3
900,27,690,31,2
900,29,795,31,1
900,25,686,72,3
900,41,758,72,2
900,57,830,72,1
900,25,434,50,3
900,34,590,50,2
900,43,746,50,1
900,275,403,222,3
900,257,569,222,2
900,239,735,222,1
